full_name,a,e,i,H,diameter,albedo,class,first_obs
 32809 Sommerfeld (1990 TJ10),2.993,0.0908,8.42,14.43,3.712,0.203,MBA,1990-09-16
146609 (2001 TS200),2.727,0.0833,9.48,15.7,4.669,0.067,MBA,2001-10-11
 20127 (1995 YV22),3.105,0.1193,1.62,14.85,7.118,0.038,MBA,1995-12-23
 19550 Samabates (1999 JP61),2.285,0.1775,3.43,14.71,2.706,0.318,MBA,1982-08-12
374127 (2004 TO74),2.722,0.213,24.15,15.84,3.968,0.059,MBA,2000-12-16
 61935 (2000 RT7),3.196,0.1319,5.97,13.67,10.047,0.084,MBA,1999-09-07
235152 (2003 RE1),3.035,0.2266,5.85,15.93,4.309,0.055,MBA,1998-11-11
407304 (2010 LM127),2.609,0.2014,10.4,17.1,2.145,0.061,MBA,1998-11-26
 52984 (1998 UZ16),2.333,0.2094,25.91,15.34,2.311,0.289,MBA,1998-10-27
166045 (2002 CJ17),2.159,0.203,3.05,16.67,1.231,0.321,MBA,1991-11-11
 54359 (2000 KD36),2.729,0.1222,4.31,15.33,4.848,0.052,MBA,1992-09-29
 18954 Sarahbounds (2000 QT119),2.237,0.1493,5.1,15.02,2.759,0.442,MBA,1951-11-29
 21809 (1999 TG19),2.695,0.0163,3.67,14.16,4.691,0.168,MBA,1991-12-27
 52850 (1998 RG73),2.361,0.2208,1.7,16.19,1.76,0.207,MBA,1991-11-11
510029 (2010 CF31),2.661,0.2274,7.57,17.28,1.556,0.116,MBA,2002-07-06
248488 (2005 UH292),2.281,0.083,2.85,17.62,2.018,0.048,MBA,2003-02-06
 19604 (1999 NY48),2.764,0.1626,8.92,14.29,4.279,0.242,MBA,1993-03-21
211893 (2004 JW27),3.122,0.1207,13.71,15.21,5.389,0.067,MBA,1998-04-24
390644 (2002 OR30),2.609,0.2601,14.31,16.84,2.7,0.051,MBA,2002-07-16
325709 (2009 UF90),2.924,0.1173,11.15,15.92,4.429,0.047,MBA,2004-10-06
108468 (2001 KR56),2.758,0.1821,12.58,15.66,2.614,0.196,MBA,1997-07-06
 75451 (1999 XB139),2.77,0.1697,8.73,14.84,3.674,0.189,MBA,1995-02-03
317744 (2003 SY35),2.971,0.2246,6.26,16.13,4.823,0.04,MBA,1998-10-11
       (2016 XQ18),2.864,0.1887,15.12,15.81,4.856,0.108,MBA,2004-04-17
 33646 (1999 JX82),2.619,0.0907,14.48,13.98,5.179,0.218,MBA,1995-05-30
 30127 (2000 FY41),2.186,0.0723,5.95,15.11,2.172,0.494,MBA,1972-10-09
126328 (2002 AX149),2.396,0.0684,3.11,16.84,2.955,0.046,MBA,1993-11-08
211824 (2004 EB23),2.929,0.3278,15.71,16.3,2.988,0.086,MBA,2000-09-24
155858 (2001 BT51),3.082,0.2333,6.64,15.44,3.203,0.157,MBA,1996-03-13
123351 (2000 WF2),2.783,0.3247,10.52,14.83,3.824,0.175,MBA,1993-03-17
 83188 (2001 QU296),2.708,0.0924,14.57,14.49,8.223,0.05,MBA,2000-07-11
 39242 (2000 YQ75),2.749,0.104,10.7,14.32,3.675,0.36,MBA,1998-05-01
       (2010 CO150),2.67,0.1578,9.73,17.63,1.699,0.056,MBA,2005-12-01
419483 (2010 DA75),3.087,0.0912,13.13,16.02,5.135,0.027,MBA,2006-06-01
 18205 (3090 P-L),3.176,0.2233,14.2,13.21,11.867,0.087,MBA,1960-09-24
296600 (2009 RC56),3.126,0.1243,3.0,16.55,2.909,0.057,MBA,2004-12-10
  8839 Novichkova (1989 UB8),3.109,0.1732,4.96,12.99,12.071,0.101,MBA,1978-10-28
202206 (2004 XJ101),2.684,0.1105,11.56,15.48,2.522,0.253,MBA,1999-10-14
488194 (2015 XT198),3.141,0.1239,19.83,16.55,4.146,0.071,MBA,2010-01-22
 13396 Midavaine (1999 RU38),2.591,0.1797,9.22,13.89,4.919,0.265,MBA,1962-12-01
443336 (2014 GB6),3.095,0.3112,14.09,16.41,4.302,0.126,MBA,2003-03-23
106416 (2000 VC34),3.141,0.1341,4.61,14.8,7.251,0.058,MBA,2000-09-06
416800 (2005 GD113),3.124,0.1842,20.84,16.05,4.255,0.047,MBA,2002-10-05
225429 (2000 BJ35),3.072,0.2278,12.36,14.99,3.98,0.147,MBA,1997-09-08
255376 (2005 WW117),2.985,0.2378,7.62,16.08,3.697,0.068,MBA,2000-12-23
503417 (2016 DA21),2.384,0.0591,2.93,17.65,2.593,0.087,MBA,2005-03-11
126974 (2002 FV22),2.592,0.2351,11.75,15.07,6.042,0.07,MBA,1999-09-11
 83284 (2001 RJ89),3.002,0.0922,9.8,14.66,5.565,0.099,MBA,1994-04-06
199159 (2005 YW171),3.049,0.1646,15.04,15.02,5.753,0.064,MBA,2001-02-20
474426 (2003 AV80),2.377,0.2898,22.08,16.45,1.498,0.377,MBA,1992-02-04
208289 (2001 CC40),2.659,0.1281,9.54,16.02,3.931,0.066,MBA,2001-01-18
290887 (2005 WA78),3.21,0.0331,15.46,15.78,4.085,0.056,OMB,1999-12-16
481734 (2008 GS19),3.014,0.1111,11.12,16.11,2.734,0.031,MBA,2005-10-31
 73201 (2002 JU13),3.11,0.2308,25.26,14.81,8.015,0.033,MBA,1996-04-15
  7074 Muckea (1977 RD3),2.209,0.1861,3.88,14.87,3.134,0.306,MBA,1977-09-10
 44492 (1998 WE31),3.237,0.1045,19.86,13.84,12.087,0.044,OMB,1998-10-15
231804 (2000 EJ106),3.153,0.198,23.73,15.03,5.653,0.073,MBA,2000-03-11
446600 (2015 MF8),3.087,0.0623,17.42,16.26,3.815,0.064,MBA,2000-09-26
140896 (2001 VW35),3.049,0.1196,19.08,14.56,8.564,0.05,MBA,1998-04-24
366721 (2003 YD47),3.171,0.0778,8.0,15.56,3.622,0.102,MBA,2003-12-17
 22722 Timothycooper (1998 SE54),2.708,0.251,14.04,12.87,6.328,0.032,MBA,1979-04-28
       (2010 FJ10),3.219,0.1345,22.19,16.73,3.314,0.034,OMB,2006-09-27
104828 (2000 HC60),3.036,0.0946,2.18,15.66,5.156,0.05,MBA,1991-10-06
176439 (2001 WX31),3.011,0.0358,13.44,15.65,4.494,0.066,MBA,2001-10-24
243025 (2006 UM216),2.674,0.524,15.89,16.06,2.123,0.139,AMO,1954-01-31
121990 (2000 FX11),3.124,0.2355,24.07,14.1,11.036,0.048,MBA,2000-03-02
 44592 (1999 OM),2.275,0.1055,10.52,14.51,3.998,0.231,MBA,1991-02-24
336886 (2011 GQ57),2.717,0.1081,9.31,16.43,3.364,0.068,MBA,2003-07-09
 92703 (2000 QE83),2.381,0.1733,1.95,15.8,4.534,0.059,MBA,1989-09-30
272085 (2005 EY322),3.163,0.0437,9.88,15.82,4.451,0.056,MBA,2005-02-01
407151 (2009 TD39),3.046,0.2056,14.69,16.2,3.296,0.085,MBA,2006-02-04
 20899 (2000 XB3),2.574,0.3032,11.93,13.41,11.547,0.084,MBA,1983-07-10
252092 (2000 UL34),2.264,0.1743,3.11,17.75,1.532,0.091,MBA,2000-10-01
   579 Sidonia (A905 VK),3.013,0.0765,11.02,8.05,85.57,0.1748,MBA,1907-01-23
 31469 Aizawa (1999 CO31),2.343,0.1568,5.38,14.74,3.481,0.227,MBA,1997-10-30
229279 (2005 BL24),3.142,0.1815,2.26,15.78,4.492,0.061,MBA,1992-11-26
393740 (2005 CC30),3.983,0.1542,3.82,15.07,7.43,0.038,OMB,2005-02-01
444179 (2005 QV40),2.896,0.2545,14.7,17.22,1.993,0.049,MBA,2000-10-04
105427 (2000 QL173),2.793,0.2401,16.2,14.21,8.29,0.031,MBA,1998-03-24
 80039 (1999 JX30),3.231,0.1053,4.64,14.78,6.757,0.081,OMB,1999-05-10
232766 (2004 PR35),2.285,0.1538,3.75,16.98,2.118,0.068,MBA,1996-02-15
 86654 (2000 ED172),2.251,0.188,6.2,15.86,2.046,0.292,MBA,2000-03-03
171255 (2005 NX89),2.655,0.0746,13.22,15.79,4.822,0.044,MBA,2001-09-25
241775 (2001 KE51),2.561,0.2046,13.14,16.3,3.791,0.059,MBA,1993-06-21
 82919 (2001 QD106),3.045,0.0136,11.49,14.46,5.145,0.127,MBA,1991-11-08
129338 Andrewlowman (2005 UZ74),3.062,0.0901,7.74,15.12,4.129,0.137,MBA,1999-09-09
 58271 (1993 TT22),2.34,0.1254,6.39,15.46,2.3,0.278,MBA,1993-10-09
171251 (2005 MU35),2.987,0.1067,11.42,15.74,3.199,0.119,MBA,2000-08-26
206781 (2004 CS109),3.041,0.1445,9.27,15.51,6.885,0.034,MBA,2002-11-01
 12664 Sonisenia (1978 SS5),2.584,0.158,2.76,14.49,7.346,0.075,MBA,1978-09-27
250375 (2003 UU23),2.349,0.2452,10.74,17.07,2.159,0.087,MBA,1999-07-13
 58804 (1998 FM110),2.793,0.241,14.3,14.53,7.708,0.068,MBA,1998-03-31
 41092 (1999 VD60),3.202,0.1061,5.88,14.55,7.63,0.063,OMB,1996-04-12
117288 (2004 TU221),3.957,0.2247,9.79,13.07,15.201,0.058,OMB,1999-03-20
171582 (1999 VX80),2.404,0.1203,3.16,16.39,2.548,0.108,MBA,1993-01-26
104868 (2000 HP87),2.667,0.2159,8.13,15.72,3.969,0.078,MBA,2000-04-27
247620 (2002 TX318),3.058,0.0356,7.77,15.79,3.994,0.053,MBA,1997-10-03
162864 (2001 EZ4),2.631,0.0684,3.18,16.38,2.389,0.162,MBA,1960-09-28
 18217 (5021 P-L),2.357,0.1727,9.78,14.71,2.71,0.166,MBA,1960-10-17
  1141 Bohmia (1930 AA),2.271,0.1649,4.27,13.56,5.642,0.251,MBA,1930-01-04
 54860 (2001 OZ24),2.357,0.1522,6.19,15.22,2.495,0.215,MBA,1992-01-28
       (2010 HM16),2.774,0.2565,10.25,17.92,2.253,0.066,MBA,2001-09-18
 83755 (2001 TS139),3.135,0.0907,10.81,14.28,4.495,0.22,MBA,1990-09-25
 39666 (1995 WL33),2.67,0.0488,5.23,15.16,6.363,0.052,MBA,1995-11-20
231023 (2005 EP138),3.058,0.0594,7.93,15.45,4.764,0.078,MBA,2000-04-13
247725 (2003 FC123),2.798,0.1547,8.48,16.33,4.438,0.033,MBA,2000-09-05
269291 (2008 SM21),3.153,0.145,11.6,15.62,3.572,0.087,MBA,2000-05-05
 10600 (1996 TK48),2.578,0.2283,2.57,14.54,4.028,0.273,MBA,1975-09-04
104646 (2000 GY125),2.608,0.1945,12.69,15.16,4.905,0.067,MBA,1998-12-22
 85100 (2189 T-3),2.583,0.1995,3.09,15.35,2.029,0.297,MBA,1977-10-07
347469 (2012 TG315),3.16,0.1387,24.24,15.33,5.018,0.031,MBA,2000-09-27
 88682 (2001 RA97),2.352,0.0987,2.67,16.97,2.45,0.056,MBA,1994-09-28
       (2016 CL210),3.094,0.1865,11.57,16.6,2.911,0.069,MBA,2007-09-12
 34016 Chaitanya (2000 OY16),2.236,0.1628,2.78,15.41,2.175,0.258,MBA,1990-07-26
186861 (2004 GD86),2.596,0.1328,8.44,16.3,1.771,0.224,MBA,2003-01-04
420942 (2013 OK11),3.06,0.0579,26.5,15.42,5.304,0.173,MBA,2004-12-02
       (2010 HN26),3.148,0.2492,13.57,17.44,2.012,0.083,MBA,2010-04-19
514401 (2016 SB50),3.167,0.0133,17.06,16.63,4.839,0.131,MBA,2008-06-05
 65749 (1993 TT38),2.286,0.1804,5.67,16.15,1.591,0.402,MBA,1993-10-09
227677 (2006 CT19),2.759,0.0989,1.4,16.64,3.421,0.038,MBA,2002-03-21
237615 (2001 QH280),2.382,0.2724,26.23,16.21,2.95,0.067,MBA,2001-08-19
460717 (2014 VT3),3.004,0.1432,12.51,16.38,2.499,0.071,MBA,2010-02-02
299596 (2006 HR36),2.615,0.2732,27.24,16.37,3.059,0.082,MBA,2002-06-19
280127 (2002 KJ5),2.737,0.158,10.37,16.46,2.754,0.102,MBA,2002-05-16
110407 (2001 TU14),2.745,0.0446,4.57,15.61,3.787,0.112,MBA,1997-12-24
522685 (2016 JC26),3.102,0.2932,24.79,17.01,2.73,0.065,MBA,2001-11-11
 85458 (1997 HD8),3.182,0.0984,5.79,14.63,6.732,0.062,MBA,1991-04-08
       (2010 LQ90),3.196,0.1741,27.03,17.07,1.896,0.094,MBA,2010-06-12
  4506 Hendrie (1990 FJ),2.882,0.0165,3.0,12.73,8.754,0.269,MBA,1949-11-25
282384 (2003 SB11),3.165,0.0768,9.03,15.16,5.773,0.053,MBA,2001-03-03
342604 (2008 UY320),2.561,0.1896,2.56,16.87,2.073,0.086,MBA,2006-01-04
169295 (2001 SP324),3.1,0.0475,8.54,15.15,3.702,0.155,MBA,2001-08-17
250734 (2005 SO75),2.972,0.1651,0.39,17.1,2.042,0.074,MBA,2005-08-31
 88359 (2001 OX100),2.702,0.172,17.46,14.64,3.812,0.232,MBA,1999-03-21
115824 (2003 UH252),3.076,0.0971,11.93,14.82,3.559,0.242,MBA,1998-12-17
326797 (2003 SW302),3.194,0.169,14.97,16.19,2.929,0.09,MBA,2003-09-17
       (2012 EG7),3.212,0.0881,18.27,15.33,5.851,0.108,OMB,2001-05-18
 80185 (1999 VO29),2.271,0.1239,6.25,16.3,4.217,0.048,MBA,1999-10-22
  6707 Shigeru (1988 VZ3),2.287,0.1779,6.19,14.46,3.142,0.449,MBA,1950-12-11
129428 (4164 T-3),2.274,0.158,4.5,16.21,2.747,0.123,MBA,1977-10-07
 23176 Missacarvell (2000 JK44),2.716,0.0639,2.33,14.63,3.301,0.309,MBA,1989-12-30
166718 (2002 TL213),3.061,0.008,10.5,15.4,3.747,0.105,MBA,1991-10-05
249251 (2008 RO120),2.695,0.1067,2.16,16.78,3.297,0.037,MBA,1999-09-15
393957 (2005 UZ223),3.074,0.1313,8.26,16.31,3.401,0.061,MBA,2002-02-07
382670 (2002 TQ147),2.302,0.1903,2.37,18.45,1.138,0.059,MBA,2000-01-30
421993 (2014 QN308),3.133,0.156,18.72,16.52,3.059,0.033,MBA,2003-09-21
294960 (2008 DT85),2.964,0.1076,2.84,16.16,3.986,0.04,MBA,1997-01-03
 17261 (2000 JB62),3.039,0.0702,7.27,13.18,8.275,0.178,MBA,1986-11-09
 14892 (1991 VE5),2.206,0.2008,3.75,14.25,4.213,0.274,MBA,1968-10-23
297085 (2010 KO51),3.171,0.2364,19.64,15.37,3.109,0.139,MBA,2002-02-08
 82897 (2001 QM89),2.879,0.0683,13.25,14.75,5.689,0.086,MBA,1998-01-02
 46010 (2001 CU16),2.552,0.1987,5.94,15.6,1.951,0.321,MBA,1997-02-02
  2828 Iku-Turso (1942 DL),2.241,0.0904,3.3,13.36,7.257,0.138,MBA,1942-02-12
 24782 (1993 SO7),2.163,0.1045,1.38,16.37,1.43,0.313,MBA,1992-04-27
       (2010 OY91),2.546,0.199,26.64,16.96,2.423,0.057,MBA,2010-07-27
139112 (2001 FZ53),2.613,0.2547,31.26,15.78,1.838,0.397,MBA,2001-03-18
264201 (2010 NO9),3.127,0.2275,10.3,16.08,3.901,0.051,MBA,2003-05-02
130145 (1999 XD186),2.573,0.202,7.33,15.15,2.655,0.33,MBA,1999-12-12
 27801 (1993 FS28),2.289,0.1202,2.87,15.75,2.142,0.292,MBA,1993-03-21
445284 (2009 WH138),2.161,0.1372,2.91,18.65,1.22,0.062,MBA,1996-09-06
199079 (2005 XS77),2.401,0.1254,3.27,16.8,3.341,0.036,MBA,2001-10-19
340382 (2006 DV197),2.692,0.1932,13.66,16.54,1.687,0.13,MBA,2003-09-18
       (2010 LD29),3.188,0.2409,13.85,17.84,2.118,0.108,MBA,2010-04-07
123295 (2000 UH103),2.587,0.1034,13.14,14.96,3.114,0.289,MBA,1989-01-11
 23993 (1999 RS13),2.58,0.1525,13.19,14.22,4.225,0.253,MBA,1950-12-11
 39399 (6688 P-L),3.132,0.1917,5.22,15.01,6.754,0.032,MBA,1960-09-24
 54176 (2000 HO61),2.355,0.1407,5.11,15.68,1.603,0.434,MBA,1995-10-26
 72478 (2001 DK38),2.723,0.1773,13.58,14.81,3.499,0.251,MBA,1998-08-17
 34938 (9562 P-L),3.18,0.1836,4.53,14.69,5.017,0.087,MBA,1960-10-17
 93922 (2000 WF161),2.787,0.1175,11.83,14.44,3.879,0.295,MBA,1998-05-26
243086 (2007 PH2),2.55,0.0237,7.23,16.4,2.788,0.083,MBA,2002-04-12
 12149 Begas (9099 P-L),3.132,0.1234,12.74,13.93,5.635,0.202,MBA,1960-10-17
242533 (2005 AV79),2.765,0.0566,4.1,16.58,3.167,0.048,MBA,2002-08-10
 70345 (1999 RF177),2.396,0.1834,4.69,15.57,2.49,0.197,MBA,1998-03-22
529496 (2010 BP33),2.717,0.2029,9.41,17.26,2.081,0.078,MBA,2004-07-21
249210 (2008 DN67),3.4,0.0241,5.55,15.1,5.225,0.059,OMB,2005-11-04
 15367 (1996 HP23),2.452,0.0707,7.0,14.67,2.972,0.502,MBA,1986-11-30
 82026 (2000 SG68),3.139,0.1457,5.98,14.63,4.775,0.136,MBA,1983-10-01
 83829 (2001 UZ21),3.069,0.0488,8.4,14.39,6.241,0.104,MBA,1990-09-12
237571 (2001 CE19),2.521,0.1147,3.49,16.24,3.435,0.072,MBA,1991-10-05
       (2010 CX209),2.484,0.1651,2.33,18.4,1.317,0.102,MBA,2001-11-12
 57186 (2001 QK30),2.413,0.1291,6.95,14.94,2.45,0.354,MBA,1997-10-24
 66425 (1999 NS32),2.417,0.2401,3.79,15.4,2.245,0.32,MBA,1999-07-14
 18868 (1999 TD101),3.212,0.0306,12.71,12.74,8.874,0.224,OMB,1979-03-22
 21745 Shadfan (1999 RX168),2.61,0.0681,4.43,14.91,3.462,0.256,MBA,1993-03-20
473914 (2016 EH151),3.114,0.0519,4.01,16.76,3.002,0.065,MBA,2005-03-12
  1788 Kiess (1952 OZ),3.117,0.1534,0.68,11.96,20.993,0.07,MBA,1952-07-25
  6559 Nomura (1991 JP),2.348,0.2425,9.72,14.12,9.405,0.072,MBA,1955-04-16
 30990 (1995 ST48),2.976,0.1603,2.45,14.57,6.993,0.069,MBA,1995-09-26
 80887 (2000 DQ42),2.592,0.1145,2.76,15.4,2.581,0.242,MBA,1996-03-11
144525 (2004 EF80),2.579,0.1117,15.35,15.41,2.593,0.288,MBA,2000-03-29
334471 (2002 PM174),2.929,0.0551,11.51,16.07,3.787,0.045,MBA,2002-08-11
 35435 Erikayang (1998 BL13),2.257,0.1934,5.4,14.56,3.109,0.353,MBA,1998-01-01
188313 (2003 FM36),3.001,0.0414,11.68,15.33,6.496,0.038,MBA,2000-11-03
277861 (2006 JR18),3.03,0.1414,6.89,16.76,2.804,0.062,MBA,2005-01-17
273893 (2007 HL33),2.596,0.1187,12.42,16.22,3.103,0.08,MBA,2002-01-05
374361 (2005 US217),2.52,0.2191,11.33,17.97,1.648,0.059,MBA,2001-10-24
 69056 (2002 YE8),2.423,0.1743,12.2,15.68,4.891,0.05,MBA,1984-01-25
119276 (2001 RS83),2.338,0.1147,3.47,16.2,3.16,0.077,MBA,1998-12-14
265890 (2006 AA62),2.922,0.0655,10.79,15.92,4.191,0.053,MBA,1995-12-18
141319 (2001 YC128),3.093,0.0902,10.38,14.74,7.069,0.039,MBA,1998-04-21
 84794 (2002 XY87),2.614,0.1904,13.39,14.59,3.164,0.306,MBA,1992-04-30
220011 (2002 PJ123),3.172,0.0201,7.02,15.29,6.053,0.053,MBA,1997-10-05
142932 (2002 VH64),2.164,0.1026,2.21,16.32,1.42,0.349,MBA,1994-01-11
 14137 (1998 RB71),2.801,0.2138,8.95,14.59,8.266,0.049,MBA,1975-12-01
       (2010 JV66),3.108,0.2469,27.25,17.89,1.642,0.125,MBA,2010-05-09
 25916 (2001 CP44),2.559,0.4991,15.76,13.78,5.683,0.177,AMO,1973-04-10
 26948 Annasato (1997 GD38),2.291,0.126,7.89,15.42,2.276,0.311,MBA,1997-04-06
   130 Elektra (A873 DA),3.125,0.2096,22.78,7.47,180.652,0.086,MBA,1893-11-14
132611 (2002 KE14),2.632,0.1802,15.36,15.76,1.927,0.329,MBA,1996-12-07
266489 (2008 CU211),3.223,0.0355,11.19,15.26,6.333,0.044,OMB,2002-01-09
146134 (2000 SE1),1.853,0.2707,28.51,16.09,1.294,0.412,MCA,1992-03-28
 10656 Albrecht (2213 T-1),3.174,0.0848,8.52,13.0,7.057,0.323,MBA,1953-02-15
  9533 Aleksejleonov (1981 SA7),2.617,0.1767,6.61,13.64,9.552,0.064,MBA,1973-12-20
 77660 (2001 LF8),3.053,0.117,10.73,14.53,7.074,0.081,MBA,1993-12-17
 37012 (2000 TP51),3.329,0.1433,11.77,14.26,5.017,0.279,OMB,1998-04-23
 87997 (2000 UG24),2.727,0.1226,5.07,15.36,4.53,0.094,MBA,1994-06-07
 74357 (1998 WZ12),2.779,0.2328,8.26,14.72,7.007,0.043,MBA,1998-11-18
       (2017 FG5),2.357,0.1131,3.76,18.19,2.113,0.075,MBA,2004-10-10
226303 (2003 BL77),2.387,0.161,3.72,17.34,1.958,0.067,MBA,2003-01-30
 27834 (1994 PW13),2.335,0.0611,6.65,14.94,3.038,0.4,MBA,1994-08-10
       (2016 EL57),3.165,0.1767,30.13,16.32,3.437,0.094,MBA,2010-03-21
 84925 (2003 VL9),2.319,0.131,1.04,16.35,3.422,0.05,MBA,1996-12-29
 16327 (3092 T-2),2.576,0.0402,12.93,14.41,3.846,0.228,MBA,1973-09-19
 97164 (1999 VX186),2.882,0.0687,11.55,14.64,6.507,0.066,MBA,1999-10-10
 51100 (2000 HQ10),3.083,0.0995,2.18,13.94,7.973,0.121,MBA,1999-02-10
 10665 Ortigao (3019 T-3),2.8,0.1555,8.68,13.55,7.06,0.17,MBA,1977-10-16
 98953 (2001 CZ29),2.933,0.05,13.09,14.64,7.784,0.073,MBA,1999-10-08
 34247 (2000 QC103),3.021,0.0512,10.26,13.65,6.227,0.218,MBA,1998-03-24
 23799 (1998 QZ37),2.6,0.18,13.72,14.48,3.223,0.204,MBA,1993-04-13
 47256 (1999 VA72),2.839,0.1199,3.15,14.93,4.185,0.146,MBA,1991-04-08
266490 (2008 DF15),3.125,0.0906,8.72,15.81,3.531,0.068,MBA,1999-09-08
169602 (2002 GF84),2.388,0.1102,5.18,16.34,1.802,0.217,MBA,2001-01-25
 97333 (1999 XW256),3.12,0.1095,28.48,13.93,11.914,0.038,MBA,1999-11-03
166815 (2002 VL85),3.161,0.1484,5.53,15.04,6.623,0.048,MBA,1996-10-11
238376 (2004 CN86),3.14,0.0702,6.54,15.71,3.849,0.069,MBA,1995-07-22
330457 (2007 EN42),2.781,0.1264,7.72,16.32,4.094,0.038,MBA,2004-10-04
280666 (2005 EG91),2.986,0.1206,13.51,15.88,5.09,0.047,MBA,2005-03-08
 90566 (2004 GS5),3.156,0.2329,13.39,14.77,7.191,0.049,MBA,1993-04-26
130112 (1999 XF70),2.69,0.0598,10.25,15.72,4.476,0.052,MBA,1999-12-07
 39614 (1993 YK),2.465,0.2086,8.21,15.22,2.512,0.336,MBA,1991-06-06
243367 (2008 WV77),3.133,0.2304,11.89,15.86,5.074,0.043,MBA,2002-09-18
418714 (2008 UO66),3.097,0.1402,16.28,16.43,3.969,0.041,MBA,2005-04-01
139616 (2001 QY136),2.719,0.1833,8.62,15.26,2.475,0.288,MBA,1996-05-16
104659 (2000 GJ137),2.703,0.1496,12.69,14.4,4.671,0.203,MBA,2000-04-12
170954 (2005 BZ19),2.567,0.1583,17.66,16.12,2.697,0.14,MBA,2001-02-16
237967 (2002 RB174),2.763,0.0829,3.53,16.07,3.122,0.075,MBA,1997-08-01
145775 (1998 BE20),2.651,0.1338,10.72,15.68,6.428,0.027,MBA,1997-11-24
372682 (2009 WK155),2.575,0.0304,9.04,16.58,2.793,0.068,MBA,2003-04-08
 70009 (1998 XM53),3.144,0.1558,20.45,12.96,13.168,0.07,MBA,1998-12-14
198798 (2005 EM156),3.029,0.0321,10.86,15.1,3.554,0.184,MBA,2000-03-12
 15549 (2000 FN),2.217,0.2095,7.13,13.95,4.483,0.35,MBA,1950-03-21
 29684 (1998 XF51),2.245,0.1622,5.4,14.22,4.412,0.173,MBA,1981-11-18
196058 (2002 TU15),3.248,0.0347,4.33,15.2,5.423,0.06,OMB,2000-04-03
 52012 (2002 LQ55),3.107,0.1227,21.53,13.91,8.874,0.081,MBA,1996-05-09
233258 (2005 YA157),2.645,0.1456,12.87,16.23,3.834,0.069,MBA,1998-04-24
458143 (2010 HP84),3.218,0.0756,22.64,15.64,5.033,0.048,OMB,2005-04-02
 74241 (1998 SM54),2.529,0.0837,12.57,15.11,3.455,0.214,MBA,1998-09-14
119415 (2001 TC84),2.738,0.072,3.86,15.9,4.148,0.065,MBA,2001-09-20
249418 (2009 DU103),2.78,0.1836,7.76,16.41,3.785,0.041,MBA,2000-04-28
  8840 (1989 WT),2.268,0.0311,4.43,13.94,4.763,0.258,MBA,1984-04-03
 71160 (1999 XS195),2.626,0.0647,15.39,14.25,4.251,0.295,MBA,1990-11-14
245513 (2005 SY56),3.115,0.0531,20.4,14.61,6.814,0.079,MBA,1999-07-12
 64019 (2001 SB152),2.959,0.0472,2.98,14.74,6.85,0.05,MBA,1994-05-04
353229 (2010 AA122),2.343,0.1699,22.45,17.03,2.663,0.043,MBA,2003-07-23
 19298 Zhongkeda (1996 SU4),2.393,0.075,6.71,14.89,2.75,0.37,MBA,1992-09-23
416423 (2003 UY230),2.331,0.1752,2.23,17.93,1.35,0.081,MBA,2003-09-20
455693 (2005 EN150),3.089,0.1966,14.94,16.91,2.082,0.085,MBA,2005-03-10
446131 (2013 EB35),2.92,0.068,7.86,16.64,3.09,0.051,MBA,2003-04-01
285178 (1996 OZ),2.628,0.253,27.06,15.93,3.976,0.085,MBA,1996-07-18
195415 (2002 GJ40),5.341,0.0508,8.64,12.64,16.546,0.071,TJN,1960-09-24
285848 (2001 FS111),2.68,0.1361,12.57,16.37,1.649,0.196,MBA,1998-09-25
 50461 (2000 DZ58),3.193,0.089,1.86,14.01,9.094,0.064,MBA,1991-10-03
141789 (2002 NS20),3.197,0.1547,5.64,14.96,6.064,0.069,MBA,2001-05-21
       (2014 RG13),3.075,0.2866,13.27,16.26,2.615,0.034,MBA,2005-12-25
466043 (2011 KK30),3.156,0.1603,25.85,15.81,5.162,0.073,MBA,2004-01-16
438813 (2008 YC142),2.667,0.1304,28.14,16.52,2.845,0.066,MBA,2008-11-24
230299 (2002 AZ30),2.525,0.2197,12.22,16.59,2.849,0.066,MBA,2002-01-08
 55211 (2001 RL43),3.143,0.1641,5.79,14.43,8.064,0.043,MBA,1992-02-06
186914 (2004 NS7),2.759,0.2297,17.08,15.5,2.945,0.141,MBA,1999-06-12
 60195 (1999 VM44),2.716,0.0542,4.45,14.97,5.882,0.074,MBA,1990-10-12
246360 (2007 TP355),2.569,0.2187,14.27,16.58,3.163,0.053,MBA,1998-05-24
225617 (2001 AQ14),2.7,0.2698,14.27,15.16,3.596,0.15,MBA,2001-01-02
 37878 (1998 FG43),2.765,0.1622,15.55,14.16,4.87,0.187,MBA,1980-05-17
243678 (1999 WH20),2.545,0.162,26.78,15.86,5.253,0.037,MBA,1999-10-14
 11508 Stolte (1990 TF13),2.784,0.0991,10.11,13.25,6.625,0.278,MBA,1990-10-11
174574 (2003 OW22),2.37,0.1482,8.28,15.96,2.049,0.266,MBA,1999-07-14
 93687 (2000 VH18),2.558,0.1572,4.4,15.48,3.189,0.12,MBA,1979-08-22
 65667 (1987 SM5),3.037,0.2031,15.15,13.78,9.376,0.088,MBA,1987-09-29
 20087 (1994 PC7),2.783,0.0847,9.77,13.82,5.453,0.216,MBA,1992-02-06
205012 (1997 LX10),2.218,0.2041,6.36,16.95,1.423,0.219,MBA,1984-08-21
  8993 Ingstad (1980 UL),2.384,0.2075,23.04,13.5,7.051,0.17,MBA,1980-10-30
